mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;fp_fn_ratio;sweep;llm_budget
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;102;107;102;0.994446561768389;48.0;0.0;4.0;18213.0;1.0;0.9230769230769231;0.96;0.9375;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;68.66;3.28;5.340000000000001;18289.72;0.9544064498192938;0.9278378378378378;0.9409346306701384;0.9330325596564658;1.0;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;149;163;149;0.9920393225410055;54.0;0.0;0.0;18514.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.9;5.72;1.1;18637.280000000002;0.9272449758331214;0.9851351351351352;0.9553138513956232;0.9729859591052267;1.0;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;125;133;125;0.9931314907412495;50.0;0.0;2.0;18022.0;1.0;0.9615384615384616;0.9803921568627451;0.9689922480620154;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.7;4.449999999999999;3.3;18120.55;0.9407850964737192;0.9554054054054054;0.9480388870264834;0.9524451030580628;1.0;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;118;125;118;0.9936098776129102;43.0;0.0;3.0;18302.0;1.0;0.9347826086956522;0.9662921348314607;0.947136563876652;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.17;3.64;4.83;18388.36;0.950006867188573;0.9347297297297298;0.9423063823990192;0.937745722729861;1.0;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;95;106;95;0.9948186528497409;59.0;0.0;2.0;18179.0;1.0;0.9672131147540983;0.9833333333333333;0.9932659932659933;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;71.12;3.2800000000000002;2.8800000000000003;18257.72;0.9559139784946237;0.9610810810810811;0.9584905660377359;0.9569429494079655;1.0;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;102;107;102;0.994446561768389;48.0;0.0;4.0;18213.0;1.0;0.9230769230769231;0.96;0.9836065573770492;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;68.59;3.28;5.41;18289.72;0.9543620425768748;0.9268918918918919;0.9404264070747926;0.9487385194201615;1.0;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;147;161;147;0.9921461772719987;54.0;0.0;0.0;18516.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.85000000000001;5.64;1.15;18637.36;0.9281437125748503;0.9844594594594593;0.9554724899993443;0.9388854521084649;1.0;cost_ratio;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;121;129;121;0.9933512830375295;53.0;0.0;2.0;18023.0;1.0;0.9636363636363636;0.9814814814814815;0.9925093632958801;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.79;4.409999999999999;3.21;18120.59;0.9413563829787235;0.9566216216216217;0.9489276139410188;0.9443703308431164;1.0;cost_ratio;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;117;124;117;0.9936640311924618;43.0;0.0;3.0;18303.0;1.0;0.9347826086956522;0.9662921348314607;0.9862385321100917;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.12;3.62;4.88;18388.38;0.9502337091009073;0.9340540540540541;0.9420744173367862;0.9469530907496712;1.0;cost_ratio;
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;96;105;96;0.9947641123534224;50.0;0.0;2.0;18187.0;1.0;0.9615384615384616;0.9803921568627451;0.9689922480620154;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.8;2.86;3.2;18258.14;0.9611729568286723;0.9567567567567568;0.9589597724502235;0.9576367472812854;2.0;cost_ratio;
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;105;108;105;0.9942832253498122;43.0;0.0;4.0;18215.0;1.0;0.9148936170212766;0.9555555555555556;0.9307359307359307;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;68.44;3.2;5.5600000000000005;18289.800000000003;0.9553322166387492;0.9248648648648649;0.9398516890964022;0.9308018713959308;2.0;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;148;162;148;0.9920927499065021;48.0;0.0;0.0;18521.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.67;5.34;1.33;18637.660000000003;0.9315472375336495;0.982027027027027;0.9561213078086968;0.9714980882864095;2.0;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;116;122;116;0.9936260234078795;48.0;0.0;2.0;18033.0;1.0;0.96;0.9795918367346939;0.967741935483871;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.64;3.75;3.36;18121.250000000004;0.9495899986557333;0.9545945945945946;0.9520857200619987;0.9535894597586329;2.0;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;120;126;120;0.993501570453807;35.0;0.0;3.0;18308.0;1.0;0.9210526315789473;0.958904109589041;0.9358288770053476;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;68.83;3.4000000000000004;5.17;18388.600000000002;0.95292814619964;0.9301351351351351;0.941393694864255;0.9346060885859382;2.0;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;96;106;96;0.9947641123534224;51.0;0.0;2.0;18186.0;1.0;0.9622641509433962;0.9807692307692307;0.9922178988326849;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.83;2.94;3.1700000000000004;18258.059999999998;0.9601464009760066;0.9571621621621621;0.9586519591256684;0.9595480654600629;2.0;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;103;108;103;0.99439211629553;45.0;0.0;4.0;18215.0;1.0;0.9183673469387755;0.9574468085106383;0.982532751091703;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;68.5;3.2199999999999998;5.5;18289.780000000002;0.9551031790295594;0.9256756756756757;0.940159209442767;0.9490689425847928;2.0;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;150;164;150;0.991985895175509;50.0;0.0;0.0;18517.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.73;5.6;1.27;18637.4;0.9285075960679179;0.9828378378378378;0.9549005448696908;0.938887741402458;2.0;cost_ratio;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;121;129;121;0.9933512830375295;48.0;0.0;2.0;18028.0;1.0;0.96;0.9795918367346939;0.9917355371900827;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.64;4.1499999999999995;3.36;18120.85;0.9445112983019119;0.9545945945945946;0.9495261778345317;0.9465108800514523;2.0;cost_ratio;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;117;123;117;0.9936640311924618;39.0;0.0;3.0;18307.0;1.0;0.9285714285714286;0.9629629629629629;0.9848484848484849;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;68.95;3.4600000000000004;5.05;18388.54;0.9522165446761498;0.9317567567567568;0.9418755549484323;0.9480530194698054;2.0;cost_ratio;
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;106;114;106;0.9942187073902372;35.0;0.0;2.0;18192.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.1;2.66;3.8999999999999995;18258.34;0.963441451346894;0.9472972972972972;0.9553011719814664;0.9504826987742704;5.0;cost_ratio;
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;112;116;112;0.9939021070397996;31.0;0.0;4.0;18220.0;1.0;0.8857142857142857;0.9393939393939394;0.9064327485380117;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;67.98;2.96;6.020000000000001;18290.040000000005;0.9582745982520441;0.9186486486486487;0.9380433282737684;0.9263094783888375;5.0;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;151;163;151;0.9919324678100123;40.0;0.0;0.0;18526.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.36;5.12;1.6399999999999997;18637.879999999997;0.9339184305627258;0.9778378378378378;0.9553736466860312;0.9687265717039735;5.0;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;118;122;118;0.9935161272597396;39.0;0.0;2.0;18040.0;1.0;0.9512195121951219;0.975;0.9605911330049262;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.14999999999999;3.45;3.85;18121.550000000003;0.953125;0.947972972972973;0.9505420054200543;0.9489989177489179;5.0;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;130;136;130;0.9929600346582909;24.0;0.0;4.0;18308.0;1.0;0.8571428571428571;0.9230769230769231;0.8823529411764706;70.0;0.0;4.0;18392.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;67.52;3.4000000000000004;6.48;18388.600000000002;0.9520586576424139;0.9124324324324323;0.9318244548716533;0.9200915730949526;5.0;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;107;118;107;0.9941641668939187;39.0;0.0;2.0;18187.0;1.0;0.9512195121951219;0.975;0.9898477157360406;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.42;2.92;3.579999999999999;18258.079999999998;0.960185437687483;0.9516216216216217;0.955884349124474;0.9584603658536586;5.0;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;113;119;113;0.9938476615669407;34.0;0.0;4.0;18216.0;1.0;0.8947368421052632;0.9444444444444444;0.9770114942528736;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;68.07;3.1999999999999997;5.9300000000000015;18289.800000000003;0.9551003227164304;0.9198648648648647;0.9371515109795553;0.9478389216887602;5.0;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;157;171;157;0.9916119036170327;41.0;0.0;0.0;18519.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.39;5.54;1.6099999999999999;18637.46;0.9289105607596561;0.9782432432432433;0.9529388534193378;0.938374987037229;5.0;cost_ratio;
